ano,id_uf,id_municipio,nome_municipio,idhm,idhm_educacao,idhm_renda,idhm_longevidade,taxa_analfabetismo_11a14,taxa_analfabetismo_15a17,taxa_analfabetismo_15mais,taxa_frequencia_6a14,taxa_frequencia_4a5,taxa_frequencia_0a3,expectativa_anos_estudo,taxa_fundamental_incompleto,renda_per_capita,indice_gini,percentual_pobres,percentual_extremamente_pobres,percentual_vulneraveis_pobreza,percentual_domicilios_agua,percentual_domicilios_energia,taxa_densidade_domiciliar
2010,25,2503001,Caaporã,0.602,0.509,0.565,0.757,8.03,6.22,23.86,98.08,94.02,15.52,8.97,41.97,268.46,0.47,65.06,34.74,12.68,86.11,98.52,36.61
2010,25,2503100,Cabaceiras,0.611,0.523,0.574,0.759,2.28,2.41,18.04,99.68,93.19,9.0,9.63,39.1,283.93,0.46,59.72,34.32,15.73,74.6,98.31,25.71
2010,25,2503209,Cabedelo,0.748,0.651,0.782,0.822,2.87,2.99,10.67,97.27,86.47,33.23,9.85,23.97,1036.21,0.7,39.32,15.61,5.27,97.74,99.71,28.1
2010,25,2503308,Cachoeira Dos Índios,0.587,0.453,0.583,0.766,8.13,5.0,27.27,95.86,77.11,15.84,9.04,49.85,301.77,0.5,57.4,35.41,20.08,72.55,99.25,37.74
2010,25,2503407,Cacimba De Areia,0.596,0.497,0.553,0.771,4.74,5.06,26.83,93.38,83.56,13.01,8.82,40.99,249.79,0.49,65.38,34.74,23.81,58.39,99.11,28.77
2010,25,2503506,Cacimba De Dentro,0.564,0.419,0.551,0.777,5.21,4.56,38.84,97.2,84.44,12.73,9.02,55.24,246.21,0.53,69.39,43.92,25.44,72.19,99.05,31.12
2010,25,2503555,Cacimbas,0.523,0.425,0.501,0.672,8.09,3.34,36.11,96.42,87.81,4.72,8.68,57.63,181.17,0.53,76.21,54.82,36.97,55.09,98.24,40.39
2010,25,2503605,Caiçara,0.592,0.488,0.58,0.733,8.4,7.42,34.16,97.72,94.93,28.64,9.08,48.25,294.68,0.51,65.56,36.18,16.8,72.24,99.22,27.46
2010,25,2503704,Cajazeiras,0.679,0.574,0.668,0.815,4.02,3.43,19.45,97.22,84.14,15.33,9.92,33.42,511.56,0.56,44.82,21.8,9.05,86.38,99.34,31.87
2010,25,2503753,Cajazeirinhas,0.55,0.413,0.521,0.773,4.42,3.28,34.81,96.89,100.0,26.95,8.32,53.53,205.12,0.5,76.01,46.83,27.03,53.28,98.19,45.26
